Sample,Group,ClassSimple,Proportion
HPSI_003,Psidium guajava (3n),DNA,1.91212149987265
HPSI_003,Psidium guajava (3n),LINE,1.91394466053087
HPSI_003,Psidium guajava (3n),LTR,18.9515577697234
HPSI_003,Psidium guajava (3n),Non-Repeat,43.9926426939638
HPSI_003,Psidium guajava (3n),Other (Simple Repeat, Microsatellite, RNA),3.1886047034463
HPSI_003,Psidium guajava (3n),Penelope,0
HPSI_003,Psidium guajava (3n),Rolling Circle,0.296811175362741
HPSI_003,Psidium guajava (3n),SINE,0.00529534782832964
HPSI_003,Psidium guajava (3n),Unclassified,30.3696771079663
HPSI_027,Psidium guajava (2n),DNA,1.86025909953193
HPSI_027,Psidium guajava (2n),LINE,1.88124130131655
HPSI_027,Psidium guajava (2n),LTR,19.9143143502575
HPSI_027,Psidium guajava (2n),Non-Repeat,44.1208823309337
HPSI_027,Psidium guajava (2n),Other (Simple Repeat, Microsatellite, RNA),3.20801397467726
HPSI_027,Psidium guajava (2n),Penelope,0
HPSI_027,Psidium guajava (2n),Rolling Circle,0.387223973056928
HPSI_027,Psidium guajava (2n),SINE,0.00316679488502689
HPSI_027,Psidium guajava (2n),Unclassified,29.2824972186543
HPSI_060,Psidium guajava (2n),DNA,1.78724616735987
HPSI_060,Psidium guajava (2n),LINE,1.71075545671627
HPSI_060,Psidium guajava (2n),LTR,18.1049474192308
HPSI_060,Psidium guajava (2n),Non-Repeat,43.56779029105
HPSI_060,Psidium guajava (2n),Other (Simple Repeat, Microsatellite, RNA),2.94900680987824
HPSI_060,Psidium guajava (2n),Penelope,0
HPSI_060,Psidium guajava (2n),Rolling Circle,0.393754130610117
HPSI_060,Psidium guajava (2n),SINE,0.00455028177608048
HPSI_060,Psidium guajava (2n),Unclassified,32.0737742587816
HPSI_041,Psidium guajava (2n),DNA,1.75183590801538
HPSI_041,Psidium guajava (2n),LINE,1.75705654667716
HPSI_041,Psidium guajava (2n),LTR,20.2005886453477
HPSI_041,Psidium guajava (2n),Non-Repeat,43.8786289296875
HPSI_041,Psidium guajava (2n),Other (Simple Repeat, Microsatellite, RNA),2.68405240183575
HPSI_041,Psidium guajava (2n),Penelope,0
HPSI_041,Psidium guajava (2n),Rolling Circle,0.399059789298351
HPSI_041,Psidium guajava (2n),SINE,0.00372597973735844
HPSI_041,Psidium guajava (2n),Unclassified,29.9358866593737
HPSI_019,Psidium guajava (2n),DNA,1.76902499808986
HPSI_019,Psidium guajava (2n),LINE,1.68739385250723
HPSI_019,Psidium guajava (2n),LTR,19.3194860835454
HPSI_019,Psidium guajava (2n),Non-Repeat,43.5273250062459
