	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
HEUG_001.pep	0.0	16420.0	16363.0	16061.0	16426.0	16412.0	16426.0	16419.0	16422.0	16437.0	15665.0	16405.0	16430.0	16428.0	16387.0	15815.0	16103.0	15467.0	15606.0	14525.0
HPSI_003.pep	16420.0	0.0	20173.0	18192.0	20126.0	20321.0	20469.0	20156.0	20138.0	20274.0	17861.0	20463.0	20113.0	20053.0	17229.0	17549.0	18290.0	15840.0	15972.0	14860.0
HPSI_007.pep	16363.0	20173.0	0.0	18088.0	19943.0	20117.0	20191.0	19965.0	19955.0	20038.0	17753.0	20144.0	19936.0	19883.0	17157.0	17492.0	18187.0	15790.0	15928.0	14843.0
HPSI_010.pep	16061.0	18192.0	18088.0	0.0	18193.0	18180.0	18197.0	18194.0	18189.0	18202.0	18538.0	18188.0	18201.0	18212.0	16782.0	17254.0	18702.0	15488.0	15578.0	14485.0
HPSI_016.pep	16426.0	20126.0	19943.0	18193.0	0.0	20160.0	20135.0	20881.0	20919.0	20005.0	17831.0	20098.0	20863.0	20360.0	17228.0	17567.0	18298.0	15835.0	15969.0	14863.0
HPSI_019.pep	16412.0	20321.0	20117.0	18180.0	20160.0	0.0	20264.0	20203.0	20182.0	20137.0	17815.0	20272.0	20121.0	19972.0	17241.0	17546.0	18281.0	15835.0	15962.0	14867.0
HPSI_027.pep	16426.0	20469.0	20191.0	18197.0	20135.0	20264.0	0.0	20165.0	20150.0	20471.0	17855.0	20836.0	20119.0	20079.0	17241.0	17585.0	18299.0	15846.0	15978.0	14862.0
HPSI_035.pep	16419.0	20156.0	19965.0	18194.0	20881.0	20203.0	20165.0	0.0	20949.0	20035.0	17848.0	20145.0	20772.0	20325.0	17222.0	17575.0	18303.0	15830.0	15949.0	14850.0
HPSI_037.pep	16422.0	20138.0	19955.0	18189.0	20919.0	20182.0	20150.0	20949.0	0.0	20011.0	17840.0	20120.0	20846.0	20358.0	17232.0	17567.0	18292.0	15838.0	15957.0	14867.0
HPSI_041.pep	16437.0	20274.0	20038.0	18202.0	20005.0	20137.0	20471.0	20035.0	20011.0	0.0	17862.0	20481.0	20010.0	20015.0	17248.0	17584.0	18305.0	15845.0	15976.0	14858.0
HPSI_059.pep	15665.0	17861.0	17753.0	18538.0	17831.0	17815.0	17855.0	17848.0	17840.0	17862.0	0.0	17821.0	17850.0	17858.0	16395.0	16858.0	18448.0	15116.0	15223.0	14138.0
HPSI_060.pep	16405.0	20463.0	20144.0	18188.0	20098.0	20272.0	20836.0	20145.0	20120.0	20481.0	17821.0	0.0	20092.0	20060.0	17224.0	17560.0	18276.0	15822.0	15948.0	14841.0
HPSI_065.pep	16430.0	20113.0	19936.0	18201.0	20863.0	20121.0	20119.0	20772.0	20846.0	20010.0	17850.0	20092.0	0.0	20389.0	17235.0	17568.0	18330.0	15840.0	15962.0	14869.0
HPSI_068.pep	16428.0	20053.0	19883.0	18212.0	20360.0	19972.0	20079.0	20325.0	20358.0	20015.0	17858.0	20060.0	20389.0	0.0	17240.0	17579.0	18318.0	15843.0	15972.0	14868.0
HPSI_069.pep	16387.0	17229.0	17157.0	16782.0	17228.0	17241.0	17241.0	17222.0	17232.0	17248.0	16395.0	17224.0	17235.0	17240.0	0.0	16562.0	16839.0	15759.0	15887.0	14783.0
HPSI_072.pep	15815.0	17549.0	17492.0	17254.0	17567.0	17546.0	17585.0	17575.0	17567.0	17584.0	16858.0	17560.0	17568.0	17579.0	16562.0	0.0	17313.0	15180.0	15288.0	14412.0
HPSI_080.pep	16103.0	18290.0	18187.0	18702.0	18298.0	18281.0	18299.0	18303.0	18292.0	18305.0	18448.0	18276.0	18330.0	18318.0	16839.0	17313.0	0.0	15526.0	15635.0	14538.0
HSYZ_001.pep	15467.0	15840.0	15790.0	15488.0	15835.0	15835.0	15846.0	15830.0	15838.0	15845.0	15116.0	15822.0	15840.0	15843.0	15759.0	15180.0	15526.0	0.0	18921.0	18170.0
HSYZ_002.pep	15606.0	15972.0	15928.0	15578.0	15969.0	15962.0	15978.0	15949.0	15957.0	15976.0	15223.0	15948.0	15962.0	15972.0	15887.0	15288.0	15635.0	18921.0	0.0	17846.0
HSYZ_003.pep	14525.0	14860.0	14843.0	14485.0	14863.0	14867.0	14862.0	14850.0	14867.0	14858.0	14138.0	14841.0	14869.0	14868.0	14783.0	14412.0	14538.0	18170.0	17846.0	0.0
