	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
HEUG_001.pep	0.0	869.0	890.0	878.0	892.0	891.0	892.0	888.0	892.0	888.0	879.0	867.0	907.0	904.0	977.0	850.0	890.0	1261.0	1267.0	1191.0
HPSI_003.pep	1302.0	0.0	110.0	482.0	104.0	114.0	66.0	109.0	111.0	86.0	455.0	57.0	105.0	116.0	1114.0	701.0	466.0	1561.0	1605.0	1524.0
HPSI_007.pep	1280.0	112.0	0.0	501.0	126.0	127.0	109.0	126.0	131.0	134.0	448.0	108.0	127.0	144.0	1112.0	676.0	491.0	1580.0	1612.0	1525.0
HPSI_010.pep	1640.0	799.0	800.0	0.0	781.0	773.0	797.0	788.0	794.0	804.0	553.0	811.0	791.0	793.0	1526.0	1134.0	552.0	1913.0	1911.0	1846.0
HPSI_016.pep	1271.0	126.0	145.0	443.0	0.0	138.0	125.0	24.0	14.0	149.0	446.0	114.0	21.0	93.0	1093.0	685.0	448.0	1567.0	1601.0	1507.0
HPSI_019.pep	1293.0	125.0	128.0	494.0	138.0	0.0	118.0	132.0	126.0	147.0	451.0	116.0	125.0	144.0	1113.0	694.0	450.0	1576.0	1638.0	1525.0
HPSI_027.pep	1305.0	57.0	92.0	491.0	88.0	106.0	0.0	91.0	96.0	78.0	441.0	20.0	110.0	103.0	1114.0	682.0	468.0	1575.0	1605.0	1527.0
HPSI_035.pep	1306.0	124.0	136.0	452.0	20.0	131.0	117.0	0.0	18.0	137.0	439.0	106.0	30.0	92.0	1137.0	699.0	465.0	1608.0	1657.0	1555.0
HPSI_037.pep	1305.0	123.0	131.0	481.0	17.0	123.0	119.0	21.0	0.0	148.0	449.0	108.0	20.0	99.0	1126.0	713.0	466.0	1596.0	1646.0	1524.0
HPSI_041.pep	1284.0	99.0	129.0	481.0	142.0	132.0	91.0	137.0	149.0	0.0	442.0	74.0	141.0	128.0	1111.0	672.0	464.0	1596.0	1624.0	1546.0
HPSI_059.pep	2713.0	1846.0	1834.0	1500.0	1834.0	1846.0	1819.0	1828.0	1843.0	1838.0	0.0	1855.0	1847.0	1864.0	2645.0	2158.0	1544.0	2987.0	3021.0	2893.0
HPSI_060.pep	1321.0	87.0	130.0	522.0	135.0	149.0	62.0	134.0	139.0	87.0	491.0	0.0	144.0	138.0	1139.0	703.0	500.0	1613.0	1661.0	1584.0
HPSI_065.pep	1276.0	120.0	131.0	457.0	26.0	129.0	114.0	40.0	31.0	139.0	454.0	111.0	0.0	86.0	1103.0	681.0	438.0	1557.0	1619.0	1505.0
HPSI_068.pep	1285.0	160.0	154.0	498.0	127.0	168.0	134.0	132.0	130.0	153.0	502.0	120.0	125.0	0.0	1132.0	699.0	502.0	1612.0	1620.0	1548.0
HPSI_069.pep	1613.0	1319.0	1330.0	1326.0	1300.0	1335.0	1332.0	1325.0	1311.0	1317.0	1289.0	1325.0	1305.0	1324.0	0.0	1281.0	1348.0	2116.0	2114.0	1992.0
HPSI_072.pep	1829.0	1112.0	1094.0	1162.0	1142.0	1144.0	1162.0	1119.0	1149.0	1129.0	1121.0	1143.0	1142.0	1142.0	1703.0	0.0	1163.0	2074.0	2147.0	2024.0
HPSI_080.pep	1812.0	929.0	911.0	759.0	899.0	926.0	928.0	907.0	911.0	927.0	744.0	947.0	920.0	913.0	1777.0	1220.0	0.0	2119.0	2149.0	2045.0
HSYZ_001.pep	2156.0	2092.0	2089.0	2050.0	2049.0	2060.0	2011.0	2037.0	2087.0	2037.0	1910.0	2025.0	2077.0	2074.0	2185.0	1944.0	1996.0	0.0	1249.0	1190.0
HSYZ_002.pep	1787.0	1737.0	1765.0	1711.0	1727.0	1727.0	1698.0	1711.0	1746.0	1696.0	1567.0	1694.0	1742.0	1733.0	1877.0	1584.0	1619.0	863.0	0.0	912.0
HSYZ_003.pep	3488.0	3511.0	3510.0	3418.0	3488.0	3464.0	3468.0	3482.0	3514.0	3458.0	3271.0	3456.0	3492.0	3470.0	3589.0	3088.0	3367.0	2729.0	2829.0	0.0
