	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
HEUG_001.pep	0.0	556.0	548.0	659.0	541.0	550.0	555.0	558.0	557.0	546.0	1189.0	562.0	544.0	544.0	680.0	746.0	771.0	869.0	735.0	1508.0
HPSI_003.pep	361.0	0.0	52.0	335.0	57.0	56.0	28.0	55.0	55.0	45.0	864.0	40.0	57.0	71.0	574.0	503.0	419.0	850.0	709.0	1521.0
HPSI_007.pep	373.0	51.0	0.0	332.0	60.0	56.0	42.0	55.0	54.0	59.0	864.0	58.0	60.0	70.0	580.0	489.0	411.0	858.0	719.0	1503.0
HPSI_010.pep	364.0	214.0	225.0	0.0	201.0	223.0	218.0	206.0	218.0	218.0	713.0	239.0	208.0	222.0	584.0	512.0	348.0	828.0	701.0	1488.0
HPSI_016.pep	373.0	50.0	59.0	332.0	0.0	63.0	42.0	10.0	8.0	63.0	861.0	65.0	12.0	57.0	569.0	509.0	411.0	852.0	714.0	1520.0
HPSI_019.pep	374.0	53.0	58.0	335.0	62.0	0.0	50.0	58.0	55.0	60.0	872.0	68.0	61.0	75.0	583.0	511.0	420.0	853.0	711.0	1516.0
HPSI_027.pep	369.0	32.0	51.0	337.0	56.0	56.0	0.0	52.0	53.0	41.0	859.0	30.0	54.0	60.0	582.0	517.0	418.0	848.0	708.0	1520.0
HPSI_035.pep	373.0	52.0	59.0	333.0	12.0	60.0	43.0	0.0	10.0	60.0	860.0	64.0	19.0	60.0	578.0	503.0	414.0	846.0	709.0	1516.0
HPSI_037.pep	371.0	53.0	61.0	335.0	7.0	58.0	46.0	9.0	0.0	66.0	867.0	66.0	15.0	59.0	574.0	511.0	417.0	856.0	716.0	1521.0
HPSI_041.pep	370.0	39.0	60.0	333.0	61.0	63.0	31.0	54.0	60.0	0.0	863.0	36.0	62.0	66.0	574.0	502.0	417.0	844.0	703.0	1516.0
HPSI_059.pep	363.0	211.0	205.0	239.0	203.0	210.0	200.0	202.0	208.0	202.0	0.0	225.0	210.0	225.0	570.0	488.0	334.0	792.0	653.0	1446.0
HPSI_060.pep	366.0	28.0	50.0	338.0	51.0	55.0	10.0	46.0	47.0	33.0	873.0	0.0	52.0	54.0	579.0	511.0	426.0	846.0	702.0	1513.0
HPSI_065.pep	377.0	50.0	58.0	336.0	9.0	57.0	48.0	14.0	9.0	62.0	866.0	67.0	0.0	56.0	573.0	513.0	421.0	855.0	717.0	1519.0
HPSI_068.pep	374.0	53.0	65.0	339.0	39.0	63.0	42.0	39.0	42.0	55.0	873.0	61.0	40.0	0.0	576.0	512.0	420.0	857.0	711.0	1515.0
HPSI_069.pep	399.0	480.0	471.0	616.0	470.0	480.0	476.0	488.0	483.0	471.0	1156.0	486.0	474.0	481.0	0.0	684.0	723.0	869.0	737.0	1529.0
HPSI_072.pep	361.0	317.0	303.0	461.0	308.0	313.0	302.0	316.0	322.0	302.0	995.0	312.0	311.0	315.0	555.0	0.0	535.0	794.0	649.0	1353.0
HPSI_080.pep	377.0	208.0	216.0	245.0	204.0	204.0	205.0	212.0	212.0	208.0	739.0	225.0	201.0	226.0	591.0	512.0	0.0	824.0	683.0	1484.0
HSYZ_001.pep	535.0	673.0	684.0	765.0	671.0	680.0	670.0	693.0	683.0	681.0	1288.0	691.0	672.0	690.0	900.0	859.0	876.0	0.0	371.0	1263.0
HSYZ_002.pep	539.0	674.0	686.0	789.0	677.0	683.0	671.0	702.0	691.0	679.0	1296.0	692.0	689.0	686.0	893.0	878.0	887.0	537.0	0.0	1300.0
HSYZ_003.pep	503.0	640.0	642.0	734.0	633.0	640.0	639.0	655.0	639.0	645.0	1239.0	658.0	635.0	645.0	847.0	825.0	845.0	516.0	376.0	0.0
