	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
HEUG_001.pep	0.0	18296.0	18275.0	18072.0	18299.0	18294.0	18333.0	18306.0	18304.0	18333.0	18235.0	18313.0	18305.0	18319.0	18412.0	17937.0	18245.0	18394.0	18420.0	18084.0
HPSI_003.pep	18513.0	0.0	20345.0	19092.0	20293.0	20493.0	20567.0	20324.0	20310.0	20411.0	19269.0	20566.0	20281.0	20249.0	19308.0	18910.0	19267.0	19305.0	19360.0	19038.0
HPSI_007.pep	18442.0	20350.0	0.0	19011.0	20141.0	20310.0	20355.0	20160.0	20154.0	20252.0	19158.0	20325.0	20131.0	20117.0	19221.0	18823.0	19185.0	19246.0	19303.0	18960.0
HPSI_010.pep	18620.0	19287.0	19200.0	0.0	19266.0	19261.0	19298.0	19281.0	19292.0	19318.0	19868.0	19328.0	19290.0	19334.0	19345.0	19069.0	19683.0	19437.0	19448.0	19150.0
HPSI_016.pep	18478.0	20308.0	20155.0	19065.0	0.0	20372.0	20312.0	20917.0	20943.0	20221.0	19239.0	20287.0	20896.0	20514.0	19265.0	18907.0	19248.0	19276.0	19317.0	19010.0
HPSI_019.pep	18483.0	20501.0	20309.0	19099.0	20370.0	0.0	20440.0	20401.0	20373.0	20348.0	19237.0	20462.0	20315.0	20204.0	19315.0	18905.0	19259.0	19286.0	19352.0	19034.0
HPSI_027.pep	18524.0	20571.0	20344.0	19116.0	20298.0	20443.0	0.0	20325.0	20318.0	20592.0	19254.0	20886.0	20291.0	20255.0	19316.0	18936.0	19285.0	19309.0	19363.0	19037.0
HPSI_035.pep	18513.0	20336.0	20170.0	19078.0	20916.0	20403.0	20333.0	0.0	20982.0	20238.0	19251.0	20323.0	20824.0	20484.0	19306.0	18934.0	19277.0	19316.0	19349.0	19046.0
HPSI_037.pep	18511.0	20320.0	20157.0	19103.0	20945.0	20374.0	20325.0	20983.0	0.0	20231.0	19259.0	20304.0	20883.0	20522.0	19300.0	18942.0	19270.0	19311.0	19347.0	19035.0
HPSI_041.pep	18513.0	20419.0	20244.0	19110.0	20212.0	20337.0	20596.0	20232.0	20226.0	0.0	19269.0	20594.0	20219.0	20218.0	19307.0	18924.0	19287.0	19300.0	19341.0	19015.0
HPSI_059.pep	19285.0	20017.0	19895.0	20340.0	19967.0	19975.0	19983.0	19980.0	19990.0	20016.0	0.0	20013.0	20007.0	20054.0	20101.0	19763.0	20401.0	20197.0	20243.0	19929.0
HPSI_060.pep	18541.0	20588.0	20336.0	19140.0	20298.0	20486.0	20908.0	20337.0	20320.0	20603.0	19287.0	0.0	20296.0	20267.0	19325.0	18942.0	19302.0	19340.0	19394.0	19078.0
HPSI_065.pep	18489.0	20289.0	20133.0	19088.0	20898.0	20315.0	20289.0	20828.0	20888.0	20217.0	19267.0	20278.0	0.0	20535.0	19280.0	18905.0	19277.0	19285.0	19336.0	19021.0
HPSI_068.pep	18531.0	20275.0	20122.0	19160.0	20530.0	20216.0	20269.0	20502.0	20536.0	20232.0	19337.0	20257.0	20558.0	0.0	19335.0	18968.0	19346.0	19385.0	19412.0	19111.0
HPSI_069.pep	18746.0	19400.0	19325.0	19131.0	19366.0	19416.0	19412.0	19401.0	19389.0	19395.0	19271.0	19394.0	19379.0	19408.0	0.0	18980.0	19285.0	19656.0	19647.0	19312.0
HPSI_072.pep	18554.0	19143.0	19066.0	19044.0	19172.0	19169.0	19212.0	19175.0	19198.0	19188.0	19235.0	19188.0	19176.0	19222.0	19318.0	0.0	19192.0	19384.0	19425.0	19202.0
HPSI_080.pep	18843.0	19554.0	19442.0	19782.0	19519.0	19553.0	19564.0	19539.0	19536.0	19574.0	20053.0	19581.0	19569.0	19592.0	19616.0	19249.0	0.0	19664.0	19747.0	19447.0
HSYZ_001.pep	19148.0	19829.0	19763.0	19555.0	19789.0	19808.0	19782.0	19799.0	19806.0	19798.0	19695.0	19782.0	19818.0	19858.0	19866.0	19363.0	19711.0	0.0	20694.0	20787.0
HSYZ_002.pep	18889.0	19548.0	19514.0	19251.0	19524.0	19558.0	19546.0	19519.0	19524.0	19529.0	19395.0	19531.0	19545.0	19583.0	19647.0	19037.0	19423.0	20484.0	0.0	20210.0
HSYZ_003.pep	19644.0	20337.0	20235.0	20030.0	20320.0	20330.0	20321.0	20328.0	20329.0	20306.0	20173.0	20316.0	20340.0	20354.0	20348.0	19807.0	20211.0	21587.0	21204.0	0.0
