	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
Number of genes	19273	20929	20804	20978	20879	20935	20922	20930	20930	20903	21772	20960	20891	20965	20920	20858	21202	21951	21425	22633
Number of genes in orthogroups	19200	20922	20793	20935	20877	20927	20916	20917	20921	20894	21708	20950	20890	20954	20812	20795	21145	21881	21376	22532
Number of unassigned genes	73	7	11	43	2	8	6	13	9	9	64	10	1	11	108	63	57	70	49	101
Percentage of genes in orthogroups	99.6	100.0	99.9	99.8	100.0	100.0	100.0	99.9	100.0	100.0	99.7	100.0	100.0	99.9	99.5	99.7	99.7	99.7	99.8	99.6
Percentage of unassigned genes	0.4	0.0	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.3	0.0	0.0	0.1	0.5	0.3	0.3	0.3	0.2	0.4
Number of orthogroups containing species	17694	18847	18776	18383	18858	18863	18854	18861	18871	18851	18536	18847	18862	18858	18607	18075	18509	19099	18960	18798
Percentage of orthogroups containing species	83.9	89.3	89.0	87.1	89.4	89.4	89.4	89.4	89.4	89.3	87.9	89.3	89.4	89.4	88.2	85.7	87.7	90.5	89.9	89.1
Number of species-specific orthogroups	7	0	0	2	0	0	0	1	1	0	1	0	0	1	6	2	0	5	2	11
Number of genes in species-specific orthogroups	25	0	0	4	0	0	0	2	2	0	2	0	0	2	14	4	0	10	5	30
Percentage of genes in species-specific orthogroups	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	3404	2251	2322	2715	2240	2235	2244	2237	2227	2247	2562	2251	2236	2240	2491	3023	2589	1999	2138	2300
'1	16758	17571	17507	16981	17595	17577	17578	17565	17591	17568	16571	17547	17590	17572	17149	16578	16999	17581	17618	16532
'2	700	878	880	928	872	896	873	907	889	880	1427	892	882	867	1063	975	1029	1044	902	1714
'3	115	232	232	237	224	228	234	221	222	233	285	232	225	250	229	265	257	246	237	269
'4	49	80	79	99	88	76	91	89	79	91	120	91	78	83	92	103	112	97	87	123
'5	26	33	36	55	34	37	25	37	44	33	47	33	41	40	36	59	46	40	42	44
'6	20	23	16	24	15	18	23	15	21	24	38	21	23	19	13	35	25	27	24	45
'7	8	12	7	17	10	14	12	8	8	8	11	13	6	10	4	22	7	21	17	26
'8	5	5	7	17	10	6	6	8	6	3	14	5	8	6	9	15	12	9	9	9
'9	4	4	5	8	2	5	4	3	1	6	5	7	0	2	6	2	3	6	7	8
'10	2	2	3	3	4	0	2	2	4	2	6	2	3	1	1	8	6	6	4	8
11-15	4	5	3	9	4	4	5	6	6	3	7	4	6	7	5	8	8	13	6	10
16-20	3	2	0	3	0	2	1	0	0	0	4	0	0	0	0	5	1	2	2	4
21-50	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	0	3	7	5	6
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	16.1	10.7	11.0	12.9	10.6	10.6	10.6	10.6	10.6	10.7	12.1	10.7	10.6	10.6	11.8	14.3	12.3	9.5	10.1	10.9
'1	79.4	83.3	83.0	80.5	83.4	83.3	83.3	83.3	83.4	83.3	78.5	83.2	83.4	83.3	81.3	78.6	80.6	83.3	83.5	78.4
'2	3.3	4.2	4.2	4.4	4.1	4.2	4.1	4.3	4.2	4.2	6.8	4.2	4.2	4.1	5.0	4.6	4.9	4.9	4.3	8.1
'3	0.5	1.1	1.1	1.1	1.1	1.1	1.1	1.0	1.1	1.1	1.4	1.1	1.1	1.2	1.1	1.3	1.2	1.2	1.1	1.3
'4	0.2	0.4	0.4	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0.6	0.4	0.4	0.4	0.4	0.5	0.5	0.5	0.4	0.6
'5	0.1	0.2	0.2	0.3	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.3	0.2	0.2	0.2	0.2
'6	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.1	0.2
'7	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1
'8	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0
'9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	16758	17571	17507	16981	17595	17577	17578	17565	17591	17568	16571	17547	17590	17572	17149	16578	16999	17581	17618	16532
'2	1400	1756	1760	1856	1744	1792	1746	1814	1778	1760	2854	1784	1764	1734	2126	1950	2058	2088	1804	3428
'3	345	696	696	711	672	684	702	663	666	699	855	696	675	750	687	795	771	738	711	807
'4	196	320	316	396	352	304	364	356	316	364	480	364	312	332	368	412	448	388	348	492
'5	130	165	180	275	170	185	125	185	220	165	235	165	205	200	180	295	230	200	210	220
'6	120	138	96	144	90	108	138	90	126	144	228	126	138	114	78	210	150	162	144	270
'7	56	84	49	119	70	98	84	56	56	56	77	91	42	70	28	154	49	147	119	182
'8	40	40	56	136	80	48	48	64	48	24	112	40	64	48	72	120	96	72	72	72
'9	36	36	45	72	18	45	36	27	9	54	45	63	0	18	54	18	27	54	63	72
'10	20	20	30	30	40	0	20	20	40	20	60	20	30	10	10	80	60	60	40	80
11-15	47	62	36	114	46	52	59	77	71	40	95	54	70	84	60	95	99	156	75	127
16-20	52	34	0	51	0	34	16	0	0	0	70	0	0	0	0	88	17	36	36	73
21-50	0	0	22	50	0	0	0	0	0	0	26	0	0	22	0	0	82	199	136	177
51-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

