	HEUG_001.pep	HPSI_003.pep	HPSI_007.pep	HPSI_010.pep	HPSI_016.pep	HPSI_019.pep	HPSI_027.pep	HPSI_035.pep	HPSI_037.pep	HPSI_041.pep	HPSI_059.pep	HPSI_060.pep	HPSI_065.pep	HPSI_068.pep	HPSI_069.pep	HPSI_072.pep	HPSI_080.pep	HSYZ_001.pep	HSYZ_002.pep	HSYZ_003.pep
HEUG_001.pep	0.0	451.0	474.0	474.0	440.0	441.0	460.0	441.0	433.0	462.0	502.0	479.0	424.0	443.0	368.0	526.0	481.0	797.0	812.0	860.0
HPSI_003.pep	430.0	0.0	10.0	83.0	6.0	2.0	4.0	4.0	6.0	6.0	89.0	6.0	6.0	9.0	391.0	157.0	92.0	1054.0	1074.0	1133.0
HPSI_007.pep	426.0	14.0	0.0	90.0	12.0	10.0	13.0	14.0	14.0	21.0	93.0	15.0	8.0	20.0	372.0	166.0	96.0	1018.0	1044.0	1089.0
HPSI_010.pep	555.0	82.0	87.0	0.0	91.0	85.0	86.0	93.0	91.0	94.0	64.0	90.0	90.0	107.0	453.0	169.0	81.0	1208.0	1258.0	1331.0
HPSI_016.pep	408.0	6.0	8.0	97.0	0.0	11.0	10.0	2.0	2.0	4.0	101.0	10.0	0.0	4.0	375.0	146.0	91.0	1022.0	1033.0	1120.0
HPSI_019.pep	404.0	2.0	6.0	90.0	10.0	0.0	8.0	8.0	10.0	4.0	99.0	6.0	8.0	13.0	378.0	154.0	108.0	1022.0	1041.0	1126.0
HPSI_027.pep	424.0	13.0	10.0	91.0	19.0	17.0	0.0	17.0	19.0	2.0	99.0	0.0	8.0	13.0	379.0	152.0	100.0	1040.0	1072.0	1128.0
HPSI_035.pep	415.0	4.0	10.0	99.0	3.0	9.0	8.0	0.0	5.0	6.0	104.0	8.0	3.0	7.0	369.0	157.0	95.0	1032.0	1034.0	1125.0
HPSI_037.pep	413.0	6.0	10.0	98.0	2.0	11.0	10.0	4.0	0.0	6.0	103.0	10.0	2.0	6.0	368.0	151.0	95.0	1021.0	1028.0	1123.0
HPSI_041.pep	422.0	7.0	17.0	94.0	4.0	5.0	3.0	6.0	6.0	0.0	102.0	3.0	6.0	9.0	374.0	166.0	101.0	1015.0	1038.0	1095.0
HPSI_059.pep	544.0	99.0	103.0	63.0	99.0	104.0	109.0	102.0	99.0	114.0	0.0	112.0	100.0	107.0	491.0	259.0	75.0	1302.0	1346.0	1452.0
HPSI_060.pep	449.0	10.0	12.0	92.0	14.0	10.0	0.0	12.0	14.0	2.0	102.0	0.0	8.0	15.0	383.0	168.0	100.0	1059.0	1083.0	1140.0
HPSI_065.pep	406.0	6.0	8.0	94.0	0.0	8.0	8.0	2.0	2.0	6.0	97.0	8.0	0.0	4.0	369.0	143.0	88.0	1033.0	1038.0	1128.0
HPSI_068.pep	444.0	9.0	20.0	111.0	4.0	13.0	14.0	6.0	6.0	9.0	104.0	16.0	4.0	0.0	387.0	178.0	106.0	1073.0	1109.0	1180.0
HPSI_069.pep	347.0	372.0	367.0	407.0	368.0	360.0	363.0	366.0	363.0	359.0	431.0	359.0	365.0	363.0	0.0	453.0	375.0	912.0	909.0	1008.0
HPSI_072.pep	549.0	165.0	177.0	167.0	155.0	166.0	163.0	165.0	160.0	173.0	261.0	173.0	155.0	186.0	498.0	0.0	181.0	1336.0	1341.0	1413.0
HPSI_080.pep	551.0	127.0	128.0	76.0	118.0	142.0	132.0	117.0	121.0	134.0	122.0	133.0	118.0	135.0	409.0	204.0	0.0	1195.0	1280.0	1380.0
HSYZ_001.pep	990.0	1224.0	1200.0	1252.0	1234.0	1233.0	1255.0	1239.0	1198.0	1235.0	1381.0	1244.0	1229.0	1251.0	1022.0	1380.0	1313.0	0.0	153.0	164.0
HSYZ_002.pep	957.0	1165.0	1135.0	1173.0	1151.0	1186.0	1199.0	1157.0	1130.0	1178.0	1309.0	1197.0	1152.0	1192.0	990.0	1287.0	1282.0	163.0	0.0	152.0
HSYZ_003.pep	1128.0	1326.0	1240.0	1393.0	1336.0	1359.0	1352.0	1341.0	1309.0	1345.0	1525.0	1361.0	1344.0	1371.0	1129.0	1482.0	1461.0	172.0	153.0	0.0
